"the_geom","STATION_ID","LONGNAME","LINES","ADDRESS","ADA","PKNRD","POINT_X","POINT_Y","LEGEND"
"POINT (-87.69482291545437 41.854279630327355)","440","California-Douglas","Pink Line","2011 S. California Avenue","true","false","1,158,201.07396598","1,890,136.33869717","Pink Line"
"POINT (-87.63088601833961 41.88573698625938)","380","Clark/Lake","Brown, Orange, Pink, Purple (Express), Green, Blue","100 W. Lake","true","false","1,175,525.85913411","1,901,735.36641997","Multiple Lines"
"POINT (-87.62781338044591 41.88480886783524)","1660","Lake/State","Red Line","188 N. State","true","false","1,176,365.32127889","1,901,404.02433966","Red Line"
"POINT (-87.67953792271051 42.03345571051573)","270","Main","Purple Line, Evanston Express","836 N. Chicago Avenue","false","false","1,161,867.21515339","1,955,459.94323801","Multiple Lines"
"POINT (-87.725624930077 41.87388872444464)","920","Pulaski-Congress","Blue Line (Congress)","530 S. Pulaski Road","false","false","1,149,758.98320612","1,897,220.94772777","Blue Line"
"POINT (-87.72917726558204 41.952940261723505)","550","Irving Park-O'Hare","Blue Line","4131 W. Irving Park Road","false","false","1,148,588.58858103","1,926,020.53969059","Blue Line"
"POINT (-87.6691601248801 41.85790770843142)","830","18th","Pink Line","1710 W. 18th Street","true","false","1,165,182.26334848","1,891,511.43450645","Pink Line"
"POINT (-87.61554588356856 41.780129716720246)","1140","King Drive","Green Line","400 E. 63rd Street","true","false","1,180,024.5514903","1,863,287.02462416","Green Line"
"POINT (-87.61832410779981 41.795176653771136)","510","Garfield-South Elevated","Green Line","320 E. Garfield Boulevard","true","true","1,179,221.19584155","1,868,763.71813326","Green Line"
"POINT (-87.68356032638904 42.05416022489172)","520","Foster","Purple Line, Evanston Express","900 W. Foster Street","false","false","1,160,717.13515232","1,962,996.53230102","Multiple Lines"
"POINT (-87.74534200985961 41.851924714963396)","420","Cicero-Douglas","Pink Line","2133 S. 48th Court","true","false","1,144,443.84387317","1,889,179.92090428","Pink Line"
"POINT (-87.65852996352429 41.973453322879514)","1200","Argyle","Red Line","1118 W. Argyle Street","false","false","1,167,746.82808687","1,933,638.97732968","Red Line"
"POINT (-87.63397336028807 41.888967933815984)","460","Merchandise Mart","Brown, Purple (Express)","350 N. Wells Street","true","false","1,174,675.57817332","1,902,905.85602106","Multiple Lines"
"POINT (-87.62817635256233 41.89667121282868)","1450","Chicago/State","Red Line","800 N. State Street","true","false","1,176,230.95814277","1,905,725.84936769","Red Line"
"POINT (-87.63385352993139 41.882695018498964)","730","Washington/Wells","Brown, Orange, Pink, Purple (Express)","100 N. Wells Street","true","false","1,174,726.83884537","1,900,620.27445093","Multiple Lines"
"POINT (-87.65773404557505 41.96425415994733)","540","Wilson","Purple, Red Line","4920 N. Broadway Street","true","false","1,168,029.49407113","1,930,295.53438257","Multiple Lines"
"POINT (-87.79378335175879 41.8869875216134)","1350","Oak Park-Lake","Green Line (Lake)","100 S. Oak Park Avenue","false","false","1,131,166.0096208","1,901,870.0672201","Green Line"
"POINT (-87.73795637168769 41.7866135510346)","930","Midway Airport","Orange Line","4612 W. 59th Street","true","true","1,146,620.91702719","1,865,394.75454613","Orange Line"
"POINT (-87.65521427917491 41.89607523740354)","1410","Chicago/Milwaukee","Blue Line","800 N. Milwaukee Avenue","false","false","1,168,871.48498392","1,905,449.33352743","Blue Line"
"POINT (-87.63373997596631 41.87872328348997)","40","Quincy/Wells","Brown, Orange, Pink, Purple (Express)","220 S. Wells Street","true","false","1,174,769.55910141","1,899,173.22932958","Multiple Lines"
"POINT (-87.65264430600404 41.9182165680886)","660","Armitage","Brown, Purple (Express)","944 W. Armitage Avenue","true","false","1,169,507.15116051","1,913,523.19132695","Multiple Lines"
"POINT (-87.65212799206752 41.88557678872635)","1510","Morgan","Green (Lake), Pink","1000 W Lake St","true","false","1,169,742.11896873","1,901,630.35829187","Multiple Lines"
"POINT (-87.75498649428108 41.88716322654387)","700","Laramie","Green Line (Lake)","5148 W. Lake Street","true","false","1,141,729.75260664","1,902,002.90459622","Green Line"
"POINT (-87.6058574174785 41.780308767768915)","720","Cottage Grove","Green Line","800 E. 63rd Street","true","false","1,182,666.51808476","1,863,374.47652824","Green Line"
"POINT (-87.6610607008597 42.0010733596017)","1300","Loyola","Red Line","1200 W. Loyola Avenue","true","false","1,166,979.64523815","1,943,698.46533905","Red Line"
"POINT (-87.62820914456076 41.876908340423775)","850","Library","Brown, Orange, Pink, Purple (Express)","26 W. Van Buren Street","true","false","1,176,281.20684682","1,898,524.19201698","Multiple Lines"
"POINT (-87.62747911770376 41.874039244054394)","1490","Harrison","Red Line","608 S. State Street","false","false","1,176,488.61907101","1,897,480.33051201","Red Line"
"POINT (-87.8593877016713 41.98350728784708)","820","Rosemont","Blue Line","5801 N. River Road","true","true","1,113,107.88045198","1,936,936.48210075","Blue Line"
"POINT (-87.62658988700281 41.86740495963631)","410","Roosevelt/Wabash","Orange & Green Lines","22 E. Roosevelt Road","true","false","1,176,750.70598325","1,895,064.79898976","Multiple Lines"
"POINT (-87.69411112481461 41.96620994947778)","1010","Rockwell","Brown Line","4648 N. Rockwell Street","true","false","1,158,091.02161388","1,930,925.25598316","Brown Line"
"POINT (-87.65945550927005 41.87588563477907)","470","Racine","Blue Line","430 S. Racine Avenue","false","false","1,167,774.55595889","1,898,083.15752057","Blue Line"
"POINT (-87.70597829539031 41.87442550900997)","250","Kedzie-Homan","Blue Line (Congress)","530 S. Kedzie Avenue","true","false","1,155,108.3249071","1,897,455.04718398","Blue Line"
"POINT (-87.71235935057341 41.93813166977897)","60","Belmont-O'Hare","Blue Line","3355 W. Belmont Avenue","false","false","1,153,202.40157732","1,920,656.94749359","Blue Line"
"POINT (-87.68160198666094 42.04165464471751)","690","Dempster","Purple Line, Evanston Express","1316 N. Sherman Avenue","false","false","1,161,283.70820885","1,958,443.42842478","Multiple Lines"
"POINT (-87.63100044907034 41.78053433456899)","910","63rd-Dan Ryan","Red Line","220 W. 63rd Street","true","false","1,175,808.13267038","1,863,399.65745627","Red Line"
"POINT (-87.66954322799872 41.871563004328266)","1030","Polk","Pink Line","1713 W. Polk Street","true","false","1,165,039.42430835","1,896,486.58894308","Pink Line"
"POINT (-87.65362593077104 41.94742799746875)","1420","Addison-North Main","Red Line","940 W. Addison Street","true","false","1,169,155.59813618","1,924,165.78538486","Red Line"
"POINT (-87.64813110426746 41.84690144087428)","1130","Halsted-Midway","Orange Line","2520 S. Archer Avenue","true","true","1,170,942.96556184","1,887,545.79610276","Orange Line"
"POINT (-87.72444964277845 41.79988782039872)","960","Pulaski-Midway","Orange Line","5106 S. Pulaski Road","true","true","1,150,270.22237459","1,870,257.60178265","Orange Line"
